Athlete,Team,Survey_Completed,Date_New,DayOfEntry,DayOfEntry_TEXT,Sleep_Hours,Nap_Hours,Sleep_Quality,Fatigue,Soreness,Stress,Readiness,Motivation,Wellness/Load
Athlete 465,Team 1,12/23/2019 9:25,NA,1,NA,8.8,0,69,0,0,71,72,52,Wellness
Athlete 454,Team 1,12/23/2019 9:58,NA,1,NA,11.8,0,63,22,0,88,35,57,Wellness
Athlete 11,Team 1,12/23/2019 11:33,NA,1,NA,9.1,0,87,10,17,95,42,86,Wellness
Athlete 25,Team 2,12/23/2019 14:58,NA,1,NA,7.5,0,67,10,0,100,33,59,Wellness
Athlete 437,Team 1,12/23/2019 15:21,NA,1,NA,9.5,0,66,54,65,50,71,42,Wellness
Athlete 18,Team 1,12/23/2019 15:22,NA,1,NA,7.1,0.9,74,0,0,100,0,94,Wellness
Athlete 13,Team 2,12/23/2019 15:52,NA,1,NA,6.3,0,74,14,9,85,72,55,Wellness
Athlete 259,Team 2,12/23/2019 16:38,NA,1,NA,8.4,0,100,0,0,100,100,100,Wellness
Athlete 27,Team 2,12/23/2019 18:01,NA,1,NA,8.1,0,61,0,0,85,64,20,Wellness
Athlete 403,Team 1,12/23/2019 18:14,NA,5,12/22/2019,5,0,26,82,42,100,84,68,Wellness
Athlete 403,Team 1,12/23/2019 18:16,NA,1,NA,1.6,1.6,0,88,40,61,0,28,Wellness
Athlete 197,Team 1,12/23/2019 19:54,NA,1,NA,4.5,0,0,55,36,24,100,61,Wellness
Athlete 220,Team 1,12/23/2019 20:00,NA,1,NA,7.7,0,69,48,23,84,100,45,Wellness
Athlete 393,Team 2,12/17/2019 0:46,NA,NA,NA,0,0,0,0,0,100,0,0,Wellness
Athlete 289,Team 1,12/24/2019 6:28,NA,2,NA,6.2,0,60,59,33,14,32,41,Wellness
Athlete 506,Team 2,12/24/2019 7:01,NA,1,NA,8,0,56,0,0,100,68,75,Wellness
Athlete 239,Team 2,12/24/2019 7:02,NA,1,NA,6.8,0,40,31,0,90,100,62,Wellness
Athlete 323,Team 1,12/24/2019 7:03,NA,1,NA,7.8,0,96,0,3,100,92,100,Wellness
Athlete 358,Team 1,12/24/2019 7:04,NA,1,NA,6.7,4,100,20,0,100,0,100,Wellness
Athlete 106,Team 1,12/24/2019 7:07,NA,1,NA,6.5,0,72,26,18,100,73,93,Wellness
Athlete 530,Team 2,12/24/2019 7:25,NA,1,NA,8.3,0,100,0,0,100,100,100,Wellness
Athlete 1,Team 1,12/24/2019 7:30,NA,1,NA,7.5,0,64,100,12,85,8,55,Wellness
Athlete 227,Team 1,12/24/2019 7:36,NA,1,NA,8.1,0,100,14,57,100,73,67,Wellness
Athlete 20,Team 2,12/24/2019 7:45,NA,1,NA,7.4,0,73,83,62,100,59,62,Wellness
Athlete 25,Team 2,12/24/2019 8:57,NA,1,NA,9.5,0,68,0,0,100,28,72,Wellness
Athlete 454,Team 1,12/24/2019 9:08,NA,1,NA,8,0,0,7,0,85,10,26,Wellness
Athlete 223,Team 2,12/24/2019 9:17,NA,2,NA,7.7,0,0,0,0,100,0,0,Wellness
Athlete 366,Team 1,12/24/2019 9:20,NA,1,NA,7.9,0,16,38,0,37,51,29,Wellness
Athlete 43,Team 2,12/24/2019 9:31,NA,3,NA,5.5,0,56,27,18,94,72,72,Wellness
Athlete 43,Team 2,12/24/2019 9:33,NA,2,NA,8.4,1.2,77,11,8,92,82,81,Wellness
Athlete 43,Team 2,12/24/2019 9:34,NA,1,NA,8.1,0.8,80,8,9,94,83,78,Wellness
Athlete 459,Team 2,12/24/2019 11:05,NA,1,NA,7,0,45,25,30,72,4,74,Wellness
Athlete 186,Team 2,12/24/2019 11:34,NA,1,NA,13.1,0,76,68,11,15,41,56,Wellness
Athlete 18,Team 1,12/24/2019 11:43,NA,1,NA,6.8,0.7,79,0,0,100,0,91,Wellness
Athlete 11,Team 1,12/24/2019 12:33,NA,1,NA,7.3,0,72,22,8,94,10,87,Wellness
Athlete 387,Team 2,12/24/2019 12:33,NA,1,NA,7.6,2.1,81,0,17,89,72,100,Wellness
Athlete 437,Team 1,12/24/2019 16:47,NA,1,NA,6.8,0,62,61,50,52,41,60,Wellness
Athlete 152,Team 1,12/24/2019 17:20,NA,5,12/23/2019,9,0,76,17,10,82,78,52,Wellness
Athlete 152,Team 1,12/24/2019 17:26,NA,1,NA,8,0,84,33,23,77,13,75,Wellness
Athlete 26,Team 1,12/24/2019 17:42,NA,1,NA,8,3,66,58,20,85,33,61,Wellness
Athlete 465,Team 1,12/24/2019 18:17,NA,1,NA,7.5,0,51,0,0,75,47,51,Wellness
Athlete 13,Team 2,12/24/2019 19:25,NA,1,NA,6.5,0,51,28,7,100,72,70,Wellness
Athlete 403,Team 1,12/24/2019 19:26,NA,1,NA,6.9,0.8,37,77,45,56,12,74,Wellness
Athlete 232,Team 2,12/24/2019 22:25,NA,1,NA,8,0,87,9,10,89,85,89,Wellness
Athlete 220,Team 1,12/24/2019 22:33,NA,1,NA,11.7,0,71,24,15,89,3,87,Wellness
Athlete 259,Team 2,12/25/2019 1:31,NA,1,NA,8.3,0,100,0,0,100,100,100,Wellness
Athlete 249,Team 2,12/25/2019 6:31,NA,1,NA,8.1,1.3,85,3,5,100,0,93,Wellness
Athlete 454,Team 1,12/25/2019 7:02,NA,1,NA,6,0,23,34,0,64,8,54,Wellness
Athlete 106,Team 1,12/25/2019 7:04,NA,1,NA,6,0,83,11,9,88,34,96,Wellness
Athlete 1,Team 1,12/25/2019 7:31,NA,1,NA,9.1,1.5,59,58,0,61,27,53,Wellness
Athlete 201,Team 2,12/25/2019 7:49,NA,1,NA,9.2,0,74,75,51,83,0,63,Wellness
Athlete 387,Team 2,12/25/2019 8:03,NA,1,NA,4.7,0,63,17,9,100,0,89,Wellness
Athlete 13,Team 2,12/25/2019 8:13,NA,1,NA,7.6,0,77,14,0,89,11,81,Wellness
Athlete 239,Team 2,12/25/2019 8:16,NA,1,NA,6.6,0,41,30,9,100,77,51,Wellness
Athlete 20,Team 2,12/25/2019 8:40,NA,1,NA,7.5,0,56,90,92,79,39,56,Wellness
Athlete 223,Team 2,12/25/2019 8:47,NA,2,NA,7.8,0,0,0,0,100,0,0,Wellness
Athlete 323,Team 1,12/25/2019 8:53,NA,1,NA,8.8,0,100,0,0,100,88,100,Wellness
Athlete 530,Team 2,12/25/2019 8:55,NA,1,NA,8.3,0,100,0,0,100,100,100,Wellness
Athlete 152,Team 1,12/25/2019 9:05,NA,1,NA,9,3,78,14,6,84,15,100,Wellness
Athlete 366,Team 1,12/25/2019 9:17,NA,1,NA,7.9,0,53,7,0,92,62,73,Wellness
Athlete 506,Team 2,12/25/2019 9:50,NA,1,NA,7.6,0,57,37,0,100,63,71,Wellness
Athlete 403,Team 1,12/25/2019 10:20,NA,1,NA,8.1,0,44,41,14,58,71,81,Wellness
Athlete 227,Team 1,12/25/2019 11:18,NA,1,NA,8.5,0,97,15,55,100,65,74,Wellness
Athlete 11,Team 1,12/25/2019 12:02,NA,1,NA,7.3,0,78,6,2,100,29,98,Wellness
Athlete 220,Team 1,12/25/2019 12:44,NA,1,NA,8.1,1.1,84,22,12,84,11,81,Wellness
Athlete 197,Team 1,12/25/2019 14:41,NA,1,NA,8,0,73,0,0,93,100,100,Wellness
Athlete 437,Team 1,12/25/2019 15:30,NA,1,NA,12,0,69,43,32,80,57,60,Wellness
Athlete 393,Team 2,12/25/2019 18:12,NA,1,NA,7.1,0,87,7,16,94,0,97,Wellness
Athlete 259,Team 2,12/25/2019 18:15,NA,1,NA,6.1,0,100,0,0,100,100,100,Wellness
Athlete 20,Team 2,12/25/2019 18:37,NA,1,NA,7,0,57,66,87,74,82,84,Wellness
Athlete 186,Team 2,12/25/2019 18:38,NA,1,NA,7,0,54,62,8,91,21,76,Wellness
Athlete 289,Team 1,12/25/2019 18:39,NA,2,NA,5.2,0,64,72,0,43,43,49,Wellness
Athlete 490,Team 2,12/25/2019 18:49,NA,2,NA,8.5,0,89,20,18,50,25,56,Wellness
Athlete 490,Team 2,12/25/2019 18:50,NA,1,NA,6.5,0,47,49,16,82,11,77,Wellness
Athlete 26,Team 1,12/25/2019 21:07,NA,1,NA,9,2,53,41,13,85,11,63,Wellness
Athlete 232,Team 2,12/25/2019 22:07,NA,1,NA,8,0,91,8,12,91,87,94,Wellness
Athlete 546,Team 1,12/26/2019 0:01,NA,3,NA,5.8,0,100,0,0,100,98,100,Wellness
Athlete 393,Team 2,12/26/2019 7:04,NA,1,NA,7.1,4,67,0,0,77,80,69,Wellness
Athlete 506,Team 2,12/26/2019 7:06,NA,1,NA,6.5,1.1,80,0,0,100,100,91,Wellness
Athlete 220,Team 1,12/26/2019 7:07,NA,1,NA,8.2,0.3,67,37,16,26,85,60,Wellness
Athlete 152,Team 1,12/26/2019 7:09,NA,1,NA,8.5,0,83,9,5,96,83,78,Wellness
Athlete 27,Team 2,12/26/2019 7:19,NA,1,NA,5.6,0,47,0,0,0,0,0,Wellness
Athlete 328,Team 1,12/26/2019 7:19,NA,1,NA,8.5,0.2,60,36,24,77,28,51,Wellness
Athlete 1,Team 1,12/26/2019 7:25,NA,1,NA,7.3,0,67,34,3,81,30,56,Wellness
Athlete 358,Team 1,12/26/2019 7:28,NA,1,NA,7.7,0.6,65,16,0,100,100,92,Wellness
Athlete 239,Team 2,12/26/2019 7:31,NA,1,NA,7.4,0,40,9,0,69,100,64,Wellness
Athlete 289,Team 1,12/26/2019 7:35,NA,2,NA,8.3,0,57,47,0,51,68,57,Wellness
Athlete 18,Team 1,12/26/2019 7:37,NA,1,NA,8,0,89,11,0,100,19,89,Wellness
Athlete 289,Team 1,12/26/2019 7:38,NA,1,NA,7,1,46,64,0,9,83,44,Wellness
Athlete 530,Team 2,12/26/2019 8:01,NA,1,NA,8.3,0,100,0,0,100,100,100,Wellness
Athlete 20,Team 2,12/26/2019 8:01,NA,1,NA,8.3,0,76,60,81,72,72,83,Wellness
Athlete 454,Team 1,12/26/2019 8:23,NA,1,NA,9.3,0,40,9,0,86,22,21,Wellness
Athlete 323,Team 1,12/26/2019 8:28,NA,1,NA,7,0,96,5,0,100,100,96,Wellness
Athlete 201,Team 2,12/26/2019 9:03,NA,1,NA,7.1,0,19,52,68,30,47,54,Wellness
Athlete 366,Team 1,12/26/2019 9:06,NA,1,NA,8.3,0,51,9,17,69,59,46,Wellness
Athlete 83,Team 2,12/26/2019 9:21,NA,1,NA,8.7,0,75,0,0,82,73,53,Wellness
Athlete 459,Team 2,12/26/2019 10:05,NA,1,NA,8.1,1.3,46,12,13,72,41,78,Wellness
Athlete 403,Team 1,12/26/2019 10:30,NA,1,NA,6.5,0,62,71,0,35,17,78,Wellness
Athlete 106,Team 1,12/26/2019 10:40,NA,1,NA,7,1.4,76,11,14,82,95,90,Wellness
Athlete 26,Team 1,12/26/2019 12:13,NA,1,NA,7.1,0,74,36,11,84,60,84,Wellness
Athlete 223,Team 2,12/26/2019 12:37,NA,2,NA,8.2,0,0,0,0,100,0,0,Wellness
Athlete 465,Team 1,12/26/2019 13:46,NA,1,NA,7.2,0,28,0,0,56,78,56,Wellness
Athlete 13,Team 2,12/26/2019 15:07,NA,1,NA,7.9,0,46,5,23,87,0,63,Wellness
Athlete 25,Team 2,12/26/2019 15:46,NA,1,NA,7.5,0,65,24,0,100,46,63,Wellness
Athlete 11,Team 1,12/26/2019 15:56,NA,1,NA,7.8,0,77,11,0,89,31,64,Wellness
Athlete 58,Team 1,12/26/2019 16:16,NA,1,NA,10.1,0,20,45,16,64,46,59,Wellness
Athlete 58,Team 1,12/26/2019 16:17,NA,5,12/25/2019,8.1,0,49,63,9,90,30,71,Wellness
Athlete 437,Team 1,12/26/2019 16:54,NA,1,NA,6.9,0,77,35,11,81,98,79,Wellness
Athlete 43,Team 2,12/26/2019 17:35,NA,1,NA,7.5,0,76,9,4,91,78,77,Wellness
Athlete 480,Team 2,12/26/2019 22:09,NA,5,12/14/2019,8,0,52,52,53,45,52,53,Wellness
Athlete 480,Team 2,12/26/2019 22:10,NA,5,12/15/2019,8.4,0,54,54,12,65,55,55,Wellness
Athlete 480,Team 2,12/26/2019 22:12,NA,5,12/16/2019,8.3,0,52,25,26,56,58,48,Wellness
Athlete 480,Team 2,12/26/2019 22:13,NA,5,12/17/2019,8,0,45,55,16,81,23,48,Wellness
Athlete 480,Team 2,12/26/2019 22:15,NA,5,12/18/2019,7.1,0,49,61,10,63,15,40,Wellness
Athlete 480,Team 2,12/26/2019 22:16,NA,5,12/19/2019,3.4,4.3,36,78,53,81,20,48,Wellness
Athlete 480,Team 2,12/26/2019 22:18,NA,5,12/20/2019,9.9,3.1,77,37,32,65,18,69,Wellness
Athlete 480,Team 2,12/26/2019 22:19,NA,5,12:21/2019,7.9,0,46,26,0,48,24,50,Wellness
Athlete 480,Team 2,12/26/2019 22:21,NA,5,12/22/2019,7.2,0,53,46,4,55,11,48,Wellness
Athlete 480,Team 2,12/26/2019 22:23,NA,5,12/23/2019,6.4,0,35,60,0,59,15,41,Wellness
Athlete 480,Team 2,12/26/2019 22:25,NA,5,12/24/2019,8.4,0,50,30,0,48,20,50,Wellness
Athlete 480,Team 2,12/26/2019 22:26,NA,2,NA,7.9,0,40,56,0,82,18,65,Wellness
Athlete 480,Team 2,12/26/2019 22:29,NA,1,NA,10.7,0,72,7,9,27,22,49,Wellness
Athlete 186,Team 2,12/27/2019 0:00,NA,5,12/26/2019,3.6,2.6,29,91,23,55,53,60,Wellness
Athlete 490,Team 2,12/27/2019 2:41,NA,1,NA,9.5,0,44,78,26,47,56,52,Wellness
Athlete 259,Team 2,12/27/2019 4:06,NA,2,NA,5.1,0,54,38,0,100,100,100,Wellness
Athlete 465,Team 1,12/27/2019 4:34,NA,1,NA,4.7,0,29,0,0,67,50,44,Wellness
Athlete 506,Team 2,12/27/2019 4:55,NA,1,NA,8.8,0,64,0,42,100,80,72,Wellness
Athlete 459,Team 2,12/27/2019 7:01,NA,1,NA,6,0,55,60,20,58,79,81,Wellness
Athlete 454,Team 1,12/27/2019 7:03,NA,1,NA,4,0,19,56,0,81,77,30,Wellness
Athlete 439,Team 1,12/27/2019 7:05,NA,1,NA,7.5,0,46,30,0,60,23,36,Wellness
Athlete 323,Team 1,12/27/2019 7:06,NA,1,NA,6.8,0,42,42,10,97,73,78,Wellness
Athlete 393,Team 2,12/27/2019 7:07,NA,1,NA,5.3,1.1,0,0,5,100,96,96,Wellness
Athlete 530,Team 2,12/27/2019 7:26,NA,1,NA,8.4,0,100,0,0,100,100,100,Wellness
Athlete 11,Team 1,12/27/2019 7:32,NA,1,NA,5.1,0,52,40,36,88,6,37,Wellness
Athlete 106,Team 1,12/27/2019 7:38,NA,1,NA,7,0,87,10,19,98,89,89,Wellness
Athlete 201,Team 2,12/27/2019 7:51,NA,1,NA,8.9,0,69,50,37,79,15,81,Wellness
Athlete 197,Team 1,12/27/2019 7:58,NA,2,NA,4,0,18,77,25,100,0,63,Wellness
Athlete 240,Team 1,12/27/2019 8:03,NA,1,NA,9,0,59,41,25,82,51,54,Wellness
Athlete 25,Team 2,12/27/2019 8:04,NA,1,NA,7.3,0,75,5,0,100,35,71,Wellness
Athlete 220,Team 1,12/27/2019 8:08,NA,1,NA,7.9,0,75,46,32,69,95,74,Wellness
Athlete 27,Team 2,12/27/2019 8:18,NA,1,NA,7.4,1,67,0,0,46,17,27,Wellness
Athlete 480,Team 2,12/27/2019 8:25,NA,1,NA,8.7,0,60,12,0,47,53,52,Wellness
Athlete 18,Team 1,12/27/2019 8:35,NA,1,NA,6,0,73,0,0,100,49,76,Wellness
Athlete 403,Team 1,12/27/2019 9:00,NA,1,NA,7.4,0,68,56,11,55,60,58,Wellness
Athlete 239,Team 2,12/27/2019 9:10,NA,1,NA,7.5,0,18,52,0,53,100,71,Wellness
Athlete 43,Team 2,12/27/2019 9:18,NA,1,NA,7.5,0.4,77,11,7,91,80,78,Wellness
Athlete 366,Team 1,12/27/2019 9:22,NA,1,NA,8.8,0,58,10,56,62,53,57,Wellness
Athlete 249,Team 2,12/27/2019 9:25,NA,1,NA,8.3,0.7,93,6,8,95,72,79,Wellness
Athlete 58,Team 1,12/27/2019 9:42,NA,1,NA,8.2,0,22,61,20,91,34,75,Wellness
Athlete 223,Team 2,12/27/2019 10:11,NA,2,NA,8.3,0,0,0,0,100,0,0,Wellness
Athlete 20,Team 2,12/27/2019 10:39,NA,1,NA,8.8,0,96,64,80,18,82,81,Wellness
Athlete 1,Team 1,12/27/2019 10:56,NA,1,NA,6.5,0,45,52,0,84,11,49,Wellness
Athlete 83,Team 2,12/27/2019 11:31,NA,1,NA,6,0,65,0,0,66,66,65,Wellness
Athlete 437,Team 1,12/27/2019 12:07,NA,1,NA,11,0,70,24,36,78,77,66,Wellness
Athlete 387,Team 2,12/27/2019 12:33,NA,1,NA,5.2,1.4,73,14,0,100,100,100,Wellness
Athlete 232,Team 2,12/27/2019 14:05,NA,1,NA,6,0,82,91,9,90,82,68,Wellness
Athlete 227,Team 1,12/27/2019 16:53,NA,1,NA,9.1,0,100,0,0,100,46,88,Wellness
Athlete 197,Team 1,12/27/2019 17:44,NA,1,NA,8.6,2,83,4,26,8,75,66,Wellness
Athlete 289,Team 1,12/27/2019 17:46,NA,1,NA,7,0,85,15,10,66,70,67,Wellness
Athlete 328,Team 1,12/27/2019 18:09,NA,1,NA,10,0,48,26,22,80,33,31,Wellness
Athlete 259,Team 2,12/27/2019 18:38,NA,1,NA,4.2,3,39,71,18,83,84,100,Wellness
Athlete 325,Team 2,12/27/2019 19:31,NA,1,NA,6.7,0,69,32,16,84,66,74,Wellness
Athlete 325,Team 2,12/27/2019 19:32,NA,2,NA,8.9,0,82,15,10,87,72,79,Wellness
Athlete 186,Team 2,12/27/2019 22:08,NA,1,NA,5.5,1,39,98,12,10,38,34,Wellness
Athlete 465,Team 1,12/28/2019 5:47,NA,1,NA,6.1,0,50,0,0,56,61,51,Wellness
Athlete 454,Team 1,12/28/2019 7:02,NA,1,NA,5.2,0,36,42,38,20,59,30,Wellness
Athlete 11,Team 1,12/28/2019 7:03,NA,1,NA,6.6,0,69,27,33,93,30,21,Wellness
Athlete 393,Team 2,12/28/2019 7:09,NA,1,NA,7.1,0,79,0,25,92,86,95,Wellness
Athlete 323,Team 1,12/28/2019 7:21,NA,1,NA,8,0,66,10,9,100,63,89,Wellness
Athlete 201,Team 2,12/28/2019 7:25,NA,1,NA,8.4,0,80,65,51,51,47,65,Wellness
Athlete 403,Team 1,12/28/2019 7:38,NA,1,NA,8,0,37,83,37,39,0,26,Wellness
Athlete 106,Team 1,12/28/2019 7:43,NA,1,NA,6.5,0,62,38,5,80,86,88,Wellness
Athlete 506,Team 2,12/28/2019 7:50,NA,1,NA,8,0,0,0,43,100,0,70,Wellness
Athlete 27,Team 2,12/28/2019 7:51,NA,1,NA,6,0,49,28,62,71,45,16,Wellness
Athlete 530,Team 2,12/28/2019 7:56,NA,1,NA,8.2,0,100,0,0,100,100,100,Wellness
Athlete 25,Team 2,12/28/2019 8:18,NA,1,NA,7,0,60,13,0,95,32,61,Wellness
Athlete 240,Team 1,12/28/2019 8:24,NA,1,NA,7.8,1,39,45,46,54,51,51,Wellness
Athlete 249,Team 2,12/28/2019 8:27,NA,1,NA,8.6,0,87,7,0,93,76,79,Wellness
Athlete 152,Team 1,12/28/2019 9:13,NA,1,NA,9,0,80,17,0,89,20,75,Wellness
Athlete 366,Team 1,12/28/2019 9:18,NA,1,NA,6.6,0,39,0,71,86,49,62,Wellness
Athlete 1,Team 1,12/28/2019 9:23,NA,1,NA,8,1.5,56,40,0,52,15,49,Wellness
Athlete 232,Team 2,12/28/2019 9:31,NA,1,NA,7.1,0,76,17,9,90,79,89,Wellness
Athlete 220,Team 1,12/28/2019 9:48,NA,1,NA,9.7,0,71,27,55,80,94,68,Wellness
Athlete 387,Team 2,12/28/2019 10:18,NA,1,NA,5.8,0.4,84,5,0,100,100,100,Wellness
Athlete 459,Team 2,12/28/2019 10:41,NA,1,NA,7.4,0,48,29,23,67,77,83,Wellness
Athlete 223,Team 2,12/28/2019 11:26,NA,2,NA,7.5,0,0,0,0,100,0,0,Wellness
Athlete 227,Team 1,12/28/2019 12:07,NA,1,NA,9.2,0,100,0,0,100,74,71,Wellness
Athlete 26,Team 1,12/28/2019 12:40,NA,1,NA,8.1,0,64,21,17,77,33,66,Wellness
Athlete 58,Team 1,12/28/2019 13:12,NA,1,NA,10,1.2,39,55,30,81,29,36,Wellness
Athlete 186,Team 2,12/28/2019 13:13,NA,1,NA,11,0.5,76,17,17,58,57,89,Wellness
Athlete 418,Team 1,12/28/2019 13:23,NA,1,NA,6.1,0,34,59,16,100,46,53,Wellness
Athlete 43,Team 2,12/28/2019 13:48,NA,1,NA,7.4,0.5,0,18,16,91,77,78,Wellness
Athlete 18,Team 1,12/28/2019 13:56,NA,1,NA,8.6,0,89,0,0,100,92,92,Wellness
Athlete 465,Team 1,12/28/2019 14:06,NA,1,NA,6.1,0,53,0,0,60,64,52,Wellness
Athlete 20,Team 2,12/28/2019 14:13,NA,1,NA,8.5,0,83,64,81,100,83,87,Wellness
Athlete 437,Team 1,12/28/2019 14:22,NA,1,NA,9.6,0,44,51,8,87,64,55,Wellness
Athlete 239,Team 2,12/28/2019 14:27,NA,1,NA,6.5,0,76,92,31,92,62,58,Wellness
Athlete 289,Team 1,12/28/2019 20:11,NA,1,NA,7.1,0,55,0,0,27,60,30,Wellness
Athlete 197,Team 1,12/28/2019 20:58,NA,1,NA,5.5,1,0,44,20,100,0,70,Wellness
Athlete 13,Team 2,12/28/2019 21:02,NA,1,NA,6.1,0,70,25,0,100,0,48,Wellness
Athlete 13,Team 2,12/28/2019 21:03,NA,2,NA,6.9,0,66,18,15,77,70,66,Wellness
Athlete 480,Team 2,12/28/2019 21:22,NA,1,NA,9.4,0,53,11,0,49,48,50,Wellness
Athlete 83,Team 2,12/28/2019 21:32,NA,1,NA,8.8,0,54,0,0,100,58,60,Wellness
Athlete 393,Team 2,12/29/2019 4:23,NA,1,NA,7.4,0,55,0,6,100,89,89,Wellness
Athlete 465,Team 1,12/29/2019 6:13,NA,1,NA,7.1,0,64,8,3,69,60,48,Wellness
Athlete 259,Team 2,12/29/2019 6:34,NA,2,NA,7.2,0,100,0,0,100,100,100,Wellness
Athlete 25,Team 2,12/29/2019 6:43,NA,1,NA,7.5,0,62,8,0,100,32,69,Wellness
Athlete 506,Team 2,12/29/2019 7:02,NA,1,NA,7.3,0,63,0,0,37,74,76,Wellness
Athlete 387,Team 2,12/29/2019 7:04,NA,1,NA,6.7,0,89,0,0,100,81,100,Wellness
Athlete 454,Team 1,12/29/2019 7:09,NA,1,NA,7.7,0,79,40,57,72,72,55,Wellness
Athlete 239,Team 2,12/29/2019 7:18,NA,1,NA,7.5,0,67,17,9,81,100,82,Wellness
Athlete 11,Team 1,12/29/2019 7:19,NA,1,NA,8.2,0,70,69,49,97,7,53,Wellness
Athlete 530,Team 2,12/29/2019 7:22,NA,1,NA,8,0,100,0,0,100,100,100,Wellness
Athlete 201,Team 2,12/29/2019 7:24,NA,1,NA,8.5,0,83,38,46,87,29,86,Wellness
Athlete 439,Team 1,12/29/2019 7:37,NA,1,NA,6.5,0,48,18,28,84,45,55,Wellness
Athlete 20,Team 2,12/29/2019 7:38,NA,1,NA,8.1,0,41,94,88,76,29,59,Wellness
Athlete 358,Team 1,12/29/2019 7:41,NA,1,NA,8.2,0,100,0,0,100,100,100,Wellness
Athlete 13,Team 2,12/29/2019 8:07,NA,1,NA,5.1,0,71,52,7,95,0,62,Wellness
Athlete 403,Team 1,12/29/2019 8:22,NA,1,NA,6.8,0.5,71,45,0,66,55,73,Wellness
Athlete 106,Team 1,12/29/2019 8:34,NA,1,NA,9.1,0,83,27,9,89,86,90,Wellness
Athlete 61,Team 1,12/29/2019 9:12,NA,1,NA,7,0,94,11,7,92,7,93,Wellness
Athlete 366,Team 1,12/29/2019 10:01,NA,1,NA,9.1,0,55,0,45,68,55,55,Wellness
Athlete 480,Team 2,12/29/2019 10:06,NA,1,NA,9,0,66,13,36,42,61,59,Wellness
Athlete 26,Team 1,12/29/2019 10:50,NA,1,NA,8.5,0,67,21,8,89,59,61,Wellness
Athlete 220,Team 1,12/29/2019 11:10,NA,1,NA,8.4,0,80,26,18,77,21,61,Wellness
Athlete 223,Team 2,12/29/2019 11:12,NA,2,NA,7.7,0,0,0,0,100,0,0,Wellness
Athlete 240,Team 1,12/29/2019 12:36,NA,1,NA,4,0,66,51,44,82,52,73,Wellness
Athlete 152,Team 1,12/29/2019 12:57,NA,1,NA,9,0.5,63,7,5,92,53,79,Wellness
Athlete 437,Team 1,12/29/2019 13:15,NA,1,NA,8,0.9,66,44,3,69,55,65,Wellness
Athlete 459,Team 2,12/29/2019 14:08,NA,1,NA,7.6,0,67,50,27,63,65,79,Wellness
Athlete 323,Team 1,12/29/2019 14:40,NA,1,NA,8,0,96,8,0,100,86,100,Wellness
Athlete 1,Team 1,12/29/2019 15:32,NA,1,NA,8.2,0,50,44,0,75,27,50,Wellness
Athlete 289,Team 1,12/29/2019 16:55,NA,1,NA,8.2,0,30,59,0,52,43,48,Wellness
Athlete 232,Team 2,12/29/2019 18:16,NA,1,NA,8,0,85,17,28,90,88,86,Wellness
Athlete 83,Team 2,12/29/2019 20:46,NA,1,NA,9.1,0,64,0,0,76,56,78,Wellness
Athlete 43,Team 2,12/29/2019 21:30,NA,1,NA,7.4,0.5,77,9,10,94,81,81,Wellness
Athlete 186,Team 2,12/29/2019 22:54,NA,1,NA,6.6,0,51,52,21,73,26,66,Wellness
Athlete 197,Team 1,12/30/2019 5:33,NA,2,NA,5.5,0,2,51,0,96,77,79,Wellness
Athlete 26,Team 1,12/30/2019 7:02,NA,1,NA,5.5,0,41,48,15,76,48,36,Wellness
Athlete 393,Team 2,12/30/2019 7:02,NA,1,NA,7.3,0,77,0,15,89,92,95,Wellness
Athlete 249,Team 2,12/30/2019 7:19,NA,1,NA,8.1,0,80,8,0,84,77,87,Wellness
Athlete 465,Team 1,12/30/2019 7:48,NA,1,NA,8.1,0,59,0,6,72,45,50,Wellness
Athlete 1,Team 1,12/30/2019 8:15,NA,1,NA,8.2,0,32,53,0,16,16,22,Wellness
Athlete 506,Team 2,12/30/2019 8:20,NA,1,NA,8.5,0,73,0,0,100,64,70,Wellness
Athlete 530,Team 2,12/30/2019 8:22,NA,1,NA,8.1,0,100,0,0,100,100,100,Wellness
Athlete 418,Team 1,12/30/2019 9:01,NA,1,NA,7,0,45,48,0,100,0,47,Wellness
Athlete 366,Team 1,12/30/2019 9:02,NA,1,NA,7.5,0,36,14,36,79,46,41,Wellness
Athlete 25,Team 2,12/30/2019 9:04,NA,1,NA,9.7,0,72,4,0,100,34,71,Wellness
Athlete 459,Team 2,12/30/2019 9:15,NA,1,NA,6,0,55,34,44,68,84,71,Wellness
Athlete 18,Team 1,12/30/2019 9:20,NA,1,NA,6.6,0,80,0,0,100,55,83,Wellness
Athlete 20,Team 2,12/30/2019 9:30,NA,1,NA,10.3,0,89,31,90,99,90,86,Wellness
Athlete 11,Team 1,12/30/2019 9:51,NA,1,NA,8.2,0,56,6,28,88,27,81,Wellness
Athlete 323,Team 1,12/30/2019 10:00,NA,1,NA,6.8,0,97,10,0,100,96,97,Wellness
Athlete 106,Team 1,12/30/2019 10:01,NA,1,NA,7,0,67,25,39,92,68,80,Wellness
Athlete 223,Team 2,12/30/2019 10:03,NA,2,NA,7.8,0,0,0,0,100,0,0,Wellness
Athlete 480,Team 2,12/30/2019 10:38,NA,1,NA,9.1,0,77,6,6,76,73,76,Wellness
Athlete 220,Team 1,12/30/2019 10:39,NA,1,NA,8.6,0,77,27,41,27,100,65,Wellness
